,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
480,4 BHK in Pallikaranai,"Independent House, Jeyachandran Nagar, Near Jayachandran Stores",23000,1,2500,Semi Furnished,Newly Constructed,Family,Ready to Move
481,1 RK in Choolaimedu,"Standalone Building, Central School Street,near Gill Nagar Park,",10000,35000,450,Full Furnished,>10 years ,All,Ready to Move
482,"2 BHK in Manju Metro - Royal Villa, Gerugambakkam",Gerugambakkam Main Rd Near K K College Of Pharmacy And Indian Ov ...,12000,50000,800,Full Furnished,3-5 years ,Family,Ready to Move
483,"1 BHK in Anandan Nithiya kudil, Velachery",Indira Gandhi Nagar Near Phoenix Marketcity,10500,50000,700,UnFurnished,Under Construction,Family,01-Mar-2019
484,2 BHK in Manali New Town,"Standalone Building, Edayanchavadi Near M7 Manali New Town Police ...",8000,50000,700,UnFurnished,Newly Constructed,All,Ready to Move
485,"2 BHK in Sabarmathis Sahitya, Sholinganallur",8th Cross St Near New Kumaran Nagar Park,-,100000,950,Semi Furnished,1-3 years ,All,Ready to Move
486,"2 BHK in Olympia Grande, Pallavaram","Great Southern Trunk Road, Sunnambu Colony, Pallavaram, Chennai, ...",33000,330000,1325,Full Furnished,1-3 years ,All,Ready to Move
487,"2 BHK in sivaji flats, Choolaimedu","Bajana Koil ,1st Street Near Kendriya Vidyalaya",15000,100000,857,UnFurnished,3-5 years ,Family,11-Feb-2019
488,1 RK in Shenoy Nagar,"Standalone Building, 19th Cross St, Tp Chathram, Near German Lepr ...",-,250000,200,UnFurnished,>10 years ,Family,Ready to Move
489,"2 BHK in TNHB Kalam Flats, Thirumullaivoyal","Santhipuram, Near Vaishnavi Temple",9500,50000,1100,Semi Furnished,3-5 years ,Family,Ready to Move
490,"2 BHK in Olive, Gerugambakkam","Sreepuram Road, Bt Nagar, Near Arul Migu Theruvidhi Amman Alayam",9500,60000,800,Semi Furnished,1-3 years ,All,Ready to Move
491,"2 BHK in Sm Orchid, Pammal",Annanagar 1st Main Road Near Vignesh Mahal,13000,60000,960,Semi Furnished,Newly Constructed,Family,Ready to Move
492,"4 BHK in Mogappair West, Mogappair, Chennai, Tamil Nadu, India","Independent House, Dr Guruswamy Bridge, Block 10,near Jains Sunda ...",45000,400000,3500,Semi Furnished,Newly Constructed,All,Ready to Move
493,2 BHK in Royapettah,"Standalone Building, Royapettah High Rd,near Neuberg Ehrlich Labo ...",20000,300000,750,UnFurnished,>10 years ,Family,Ready to Move
494,2 BHK in Choolaimedu,"Standalone Building, Near Dav Matric Higher Secondary School",25000,150000,1100,Full Furnished,>10 years ,Family,Ready to Move
495,"1 BHK in Queens court, Egmore","Montieth Road, Near Alsa Mall",17500,52500,650,UnFurnished,>10 years ,All,01-Mar-2019
496,"3 BHK in Jains Green Acres, Pallavaram",Near Nilgiri's And Winners Gym,17500,105000,1400,Semi Furnished,5-10 years ,Family,Ready to Move
497,2 BHK in Poonamallee,"Independent House, Trunk Rd,near Government Hospital",9000,50000,800,UnFurnished,5-10 years ,Family,Ready to Move
498,"2 BHK in Appaswamy Greensville, Sholinganallur","No.189, Old Mahabalipuram Road, Rajiv Gandhi Salai, Sholinganallu ...",23000,100000,1211,Semi Furnished,Newly Constructed,Family,07-Mar-2019
499,"2 BHK in Sundaram Homes, Nungambakkam","Tank Bund Rd, Pushpa Nagar Near Loyola College",25000,100000,900,Semi Furnished,>10 years ,All,01-Mar-2019
500,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",22000,100000,1336,Semi Furnished,1-3 years ,Family,Ready to Move
501,"3 BHK in sakthi sarathambigai, Trustpuram","Vanniar St, Near Tirumala Supermarket",30000,200000,1100,Semi Furnished,5-10 years ,Family,Ready to Move
502,"2 BHK in Arunalaya, Velachery","3rd Main Road, Vijaya Nagar, Near Kidzee, Velachery",25000,200000,1250,Semi Furnished,Newly Constructed,Family,Ready to Move
503,1 BHK in Purasaiwakkam,"Standalone Building, Kulandai Street, Near Saravana Stores - Supe ...",11000,100000,600,UnFurnished,>10 years ,All,Ready to Move
504,1 BHK in Korattur,"Independent House, Srinivasapuram 3rd Cross Near Single Bite Ice ...",7000,40000,600,Semi Furnished,>10 years ,All,Ready to Move
505,2 BHK in Tiruvottiyur,"Independent House, Thiruvottiyur",8000,35000,1400,UnFurnished,>10 years ,Family,Ready to Move
506,"2 BHK in Icons La Panchas, Nanmangalam","Manikandan Street, Manikandan Nagar, Near Nivedha's Enclave And L ...",12000,60000,850,Semi Furnished,Newly Constructed,Family,Ready to Move
507,"3 BHK in North Town, Perambur","No. 4,5,6, 7, Stephenson Road, Near Buckingham & Carnatic Gardens ...",30000,300000,1357,Semi Furnished,>10 years ,Family,Ready to Move
508,2 BHK in Jalladianpettai,"Independent House, Sevaliyar Sivaji St, Near Panchyat Office And ...",7000,15000,1200,UnFurnished,Newly Constructed,Family,Ready to Move
509,1 BHK in Iyyappanthangal,"Standalone Building, Vgn Nagar,trunk Rd Near Bharat Petroleum Bun ...",3800,15000,400,UnFurnished,Newly Constructed,All,Ready to Move
510,1 RK in Injambakkam,"Standalone Building, Vgn Nagar,trunk Rd Near Bharat Petroleum Bun ...",2000,10000,200,UnFurnished,Newly Constructed,All,Ready to Move
511,2 BHK in Nesapakkam,"Independent House, Kannadasan Nagar Main Road, Near Grace Super M ...",13500,100000,1200,Semi Furnished,5-10 years ,All,Ready to Move
512,2 BHK in Ullagaram,"Independent House, Usha Nagar, 2nd Street, Near Mukthi Karma Stha ...",12000,120000,900,UnFurnished,3-5 years ,Family,Ready to Move
513,"2 BHK in Ponniammanmedu, Chennai, Tamil Nadu, India","Independent House, B2 ,krishna Nagar 1st Street, Kolathur",15000,100000,1200,Semi Furnished,Newly Constructed,Family,Ready to Move
514,1 RK in Koyambedu,"Standalone Building, 17th Street, Cdn Nagar, Nerkundram, Near R10 ...",4000,15000,350,UnFurnished,Newly Constructed,Bachelors,Ready to Move
515,"2 BHK in Osian Chlorophyll, Porur","Porur Link Road, Devi Parasakthi Nagar, Gandhi Nagar, Porur, Chen ...",25000,100000,1107,Semi Furnished,Newly Constructed,Family,01-Mar-2019
516,"3 BHK in Annai Aashna, Madambakkam","Kattabomman St, Near Agaramthen Government School",10000,60000,900,UnFurnished,1-3 years ,All,Ready to Move
517,"3 BHK in Sai krishna Flat, Valasaravakkam","Murali Krishna Nagar 1st Main Road, Devi Kuppam Main Road Near Fr ...",15000,75000,1300,Semi Furnished,3-5 years ,Family,Ready to Move
518,"2 BHK in Royal jyothi apartment, Mugalivakkam","Sabari Nagar Extension, Near Bsnl Tower, Mugalivakkam",14000,100000,900,UnFurnished,Newly Constructed,Family,Ready to Move
519,2 BHK in Chitlapakkam,"Standalone Building, 1st Main Rd Anna Strret,near Varadharaja The ...",10000,50000,750,Semi Furnished,5-10 years ,All,01-Mar-2019
520,"1 RK in Muthu Illam, Kattupakkam","Arul Avenue,near Chindamani Vinayagar And Sbi",6000,15000,500,UnFurnished,>10 years ,All,Ready to Move
521,1 BHK in Porur,"Standalone Building, Near Mosque",7000,50000,500,UnFurnished,5-10 years ,All,Ready to Move
522,"3 BHK in Apartment, Velachery",Vgp Seethapathy Nagar Near Buhari Hotel,30000,60000,1300,Semi Furnished,Newly Constructed,Family,Ready to Move
523,"3 BHK in LALITHA HOMES, Velachery, Chennai, Tamil Nadu, India",Nethaji Colony 3rd Main Road,15000,75000,1000,Semi Furnished,3-5 years ,Family,10-Mar-2019
524,1 RK in Kolathur,"Standalone Building, Bharathi Nagar, Balaji Nagar Main Rd, Near K ...",3000,25000,100,UnFurnished,Newly Constructed,Bachelors,Ready to Move
525,1 BHK in Sholinganallur,"Standalone Building, Old Mahabalipuram Rd, Near Infosys",11000,11000,400,Full Furnished,5-10 years ,All,Ready to Move
526,"3 BHK in Maxwell Trinity, Porur","12th Cross, Lakshmi Nagar , Near Lakshmi Nagar Bus Stop,",23000,100000,1300,Full Furnished,5-10 years ,All,Ready to Move
527,1 RK in Adyar,"Independent House, Arunachalapuram 1st Street,near Fortis Malar H ...",6000,50000,250,UnFurnished,3-5 years ,Family,Ready to Move
528,2 BHK in Aminjikarai,"Independent House, Arunachalapuram Street, Near M.r. Hospital,",16000,100000,900,Semi Furnished,5-10 years ,All,Ready to Move
529,"2 BHK in Anugraha, Perungudi","Kurunji Nagar, Near Plaza Green Acres",18000,100000,1200,Semi Furnished,1-3 years ,Family,Ready to Move
530,2 BHK in Perungalathur,"Standalone Building, Eb Colony Near Shri Madhurakali Amman Kain ...",10000,50000,950,UnFurnished,Newly Constructed,Family,Ready to Move
531,"3 BHK in Amarprakash Temple Waves, Chromepet","Kundrathur Main Road, Pkv Maha Nagar, Near Thiruneermalai Temple, ...",-,50000,910,Semi Furnished,Newly Constructed,All,24-Feb-2019
532,"1 BHK in Pink House, Triplicane","Swami Pillai Street, Near Kellet Higher Secondary School",10000,100000,600,UnFurnished,>10 years ,All,Ready to Move
533,"3 BHK in India Aashirwad Ashoknagar, Ashok Nagar",Near Hdfc Bank Branch / Atm,40000,300000,1650,Semi Furnished,Newly Constructed,Family,Ready to Move
534,"2 BHK in Thirumalai Castle, Thoraipakkam","3rd Cross St, Anand Nagar, Near Chennai One Software Park",14000,50000,1200,UnFurnished,5-10 years ,Family,01-Apr-2019
535,2 BHK in Pallikaranai,"Standalone Building, Velachery - Tambaram Main Rd Near Mpl Silic ...",25000,100000,940,Full Furnished,3-5 years ,All,Ready to Move
536,2 BHK in India,"Independent House, Mmda Colony, Near Government Higher Secondary ...",14500,100000,1000,Semi Furnished,>10 years ,Family,Ready to Move
537,2 BHK in Tiru Vi Ka Nagar,"Standalone Building, Perambur Near Esi Hospital",15000,150000,1200,Semi Furnished,5-10 years ,Family,Ready to Move
538,"3 BHK in Saileja Alps, Tambaram","3rd Main Rd, Annai Indra Nagar,ttk Nagar, Near Pillayar Temple",20000,100000,1333,Semi Furnished,3-5 years ,All,Ready to Move
539,"2 BHK in Sai Bansi, Nanmangalam",Manikandan Nagar Near Pole Star Matriculation School,9000,60000,900,Semi Furnished,5-10 years ,Family,01-Mar-2019
540,1 BHK in Aminjikarai,"Independent House, Choolaimedu Rajaram Mehta Nagar, Officers Colo ...",7000,56000,380,UnFurnished,5-10 years ,Family,Ready to Move
541,1 BHK in New Perungalathur,"Independent House, Srinivasa Nagar, Near Indian Overseas Bank",6000,20000,400,Semi Furnished,5-10 years ,Family,Ready to Move
542,2 BHK in Madambakkam,"Independent House, Madambakkam Main Rd, Near Shri Dhenupureeswara ...",8000,40000,625,UnFurnished,Newly Constructed,All,01-Mar-2019
543,"2 BHK in Sumithra, Valasaravakkam","Ashtalakshmi Nagar, 3rd Street Near Devi Academy Senior Secondary ...",9000,50000,750,UnFurnished,>10 years ,Family,Ready to Move
544,2 BHK in Triplicane,"Independent House, Janijhonson Rd Near Zam Bazaar Police Station",14000,100000,700,UnFurnished,>10 years ,Family,Ready to Move
545,"2 BHK in Apartment, Tambaram East",Mahalakshmi Street Near Sri Sankara Vidyalaya Matriculation Highe ...,11000,55000,750,Semi Furnished,>10 years ,All,Ready to Move
546,"2 BHK in vasanth flats, Keelkattalai","Kumaran Nagar, Near Reliance Digital",15000,90000,760,Semi Furnished,>10 years ,Family,Ready to Move
547,"2 BHK in serial enclave, Virugambakkam","Sai Nagar, Near Gowri Medicals",16000,100000,916,Semi Furnished,Newly Constructed,All,Ready to Move
548,"2 BHK in Brindavan Flats, Chromepet","Lakshmipuram, Near Durgai Amman Temple And Lions Club Of Lakshmip ...",10000,45000,750,Semi Furnished,5-10 years ,All,Ready to Move
549,"2 BHK in Amutha flats, Nanmangalam","2nd Street Muthiya Nagar, Nanmangalam, Chennai-600117, Tamil Nadu ...",11000,100000,930,UnFurnished,1-3 years ,Family,Ready to Move
550,1 BHK in Madambakkam,"Independent House, Madambakkam Main Rd, Near Hp Petrol Bunk And A ...",10000,60000,1000,UnFurnished,5-10 years ,All,Ready to Move
551,2 BHK in Madipakkam,"Independent House, 13th Street Karthikeyapuram Near Navasakthi Ka ...",12500,80000,800,UnFurnished,5-10 years ,Bachelors,Ready to Move
552,3 BHK in Kilpauk,"Standalone Building, New Avadi Rd, Near Gangas Pharmacy",22000,220000,1000,Semi Furnished,>10 years ,Family,Ready to Move
553,"1 RK in Sharda Kutir, Mandaveli",(ra Puram) Pattamal Street Near Sri Venugopal Vidyalaya Matricula ...,6000,36000,200,Semi Furnished,Newly Constructed,Bachelors,Ready to Move
554,"2 BHK in TNHB Flats, Tambaram Sanatoruim","4th Cross Street, Durga Nagar, Near Manav Packaging Private Limit ...",8000,40000,750,UnFurnished,>10 years ,Family,Ready to Move
555,"2 BHK in nest grandeur, Semmenchery","Kamaraj Nagar,behind Ambrosia Apartments",15000,60000,1030,UnFurnished,Newly Constructed,Family,Ready to Move
556,"2 BHK in Vishal Apartment, Royapettah","Royapettah High Rd, Azad Nagar Near Hotel Swagath",40000,100000,900,Semi Furnished,>10 years ,All,Ready to Move
557,"3 BHK in DLF GARDEN CITY, Thalambur",Semmancheri Near Psbb Millennium School,20000,120000,1600,Semi Furnished,5-10 years ,Family,Ready to Move
558,"2 BHK in stand alone building, Ayappakkam","Ayya Pakkam Main Rd ,subash Nagar Near Barbecue World",10000,50000,950,UnFurnished,Newly Constructed,Family,Ready to Move
559,3 BHK in Keelkattalai,"Standalone Building, Thiruvalluvar Nagar, Near Arulmigu Shakthive ...",17000,100000,1360,Semi Furnished,Newly Constructed,All,Ready to Move
560,"2 BHK in M R Apartments, Mandaveli,",Sringeri Mutt Rd Near Sri Venugopal Vidyalaya Matriculation Highe ...,19000,100000,800,UnFurnished,>10 years ,Family,Ready to Move
561,"3 BHK in Lakshmi Enclave, T Nagar",Near Jain Marriage Hall,60000,720000,2100,UnFurnished,>10 years ,All,Ready to Move
562,"2 BHK in AP, Saligramam","Vgn Street, Near General Cariappa Higher Secondary School",15000,100000,910,Semi Furnished,1-3 years ,Family,15-Apr-2019
563,"2 BHK in Tnhb Mig Plot, Sholinganallur","Sholinganallur, Behind Infosys, Chennai, Tamil Nadu, India.",13000,65000,778,UnFurnished,Newly Constructed,Family,Ready to Move
564,"2 BHK in SRI HARI HARA APRTMENTS, Thirumullaivoyal","Chennai - Tiruvallur High Rd,near Palrajan Stores",8000,50000,1000,UnFurnished,5-10 years ,All,Ready to Move
565,2 BHK in Madambakkam,"Independent House, Guduvanchery, Near Sai Baba Temple Ttc Nagar ...",5000,25000,700,UnFurnished,>10 years ,Family,Ready to Move
566,2 BHK in Tondiarpet,"Independent House, Thiruvottiyur High Rd, Near Lakshmi Amman Koil ...",14000,100000,1000,Semi Furnished,>10 years ,All,Ready to Move
567,"1 RK in Chitlapakkam, Chennai, Tamil Nadu, India","Independent House, Near Vivekananda School, Babu Street Park",5000,25000,300,Full Furnished,1-3 years ,All,Ready to Move
568,1 BHK in Medavakkam,"Standalone Building, Near Hot Chips Restaurant",6000,40000,600,UnFurnished,5-10 years ,Family,Ready to Move
569,"2 BHK in Lasya Apt, Madipakkam",Karthikeyapuram Near Karthikeyapuram Cooperative Community Hall,11000,55000,924,Semi Furnished,5-10 years ,Family,08-Mar-2019
570,"1 BHK in Hansa Courtyard, Tiruvottiyur","643, Thiruvottiyur High Road, Soundara Pandianar Nagar, Tiruvotti ...",7500,75000,550,Semi Furnished,5-10 years ,Family,Ready to Move
571,2 BHK in Selaiyur,"Standalone Building, East Tambaram , Camp Road Junction, Near Med ...",10000,50000,1200,UnFurnished,3-5 years ,Family,Ready to Move
572,"3 BHK in Majestic Flats, Ashok Nagar","21st Ave, Near Marhaba Mini Function Hall",26000,150000,1400,Semi Furnished,5-10 years ,Family,Ready to Move
573,1 RK in Selaiyur,"Standalone Building, East Tambaram , Camp Road Junction, Near Med ...",6000,30000,500,UnFurnished,3-5 years ,All,Ready to Move
574,"3 BHK in KARUNAKARAN HOUSE, Velachery,","Near San Academy School, V.o.c Nagar, Vijaya Nagar",22000,80000,1700,Semi Furnished,5-10 years ,All,Ready to Move
575,2 BHK in Shenoy Nagar,"Standalone Building, Bharathi Puram Near Sai Baba Temple",15000,90000,900,Semi Furnished,5-10 years ,Family,Ready to Move
576,1 BHK in Pallavaram,"Independent House, Antony Street, Gandhi Nagar, Nagalkeni",8000,35000,850,Semi Furnished,3-5 years ,All,Ready to Move
577,1 BHK in Medavakkam,"Standalone Building, Velachery - Tambaram Main Rd, Near Dindigul ...",9000,40000,450,UnFurnished,Newly Constructed,Bachelors,Ready to Move
578,2 BHK in Chromepet,"Standalone Building, Santhi Nagar, Near Sdnb Vaishnav College For ...",10500,100000,620,Semi Furnished,3-5 years ,All,Ready to Move
579,2 BHK in K K Nagar,"Independent House, Alagiri Sami Salai, Near Padma Seshadri Bala B ...",16000,70000,900,UnFurnished,5-10 years ,Family,Ready to Move
580,2 BHK in Medavakkam,"Standalone Building, Sai Ganesh Nagar Near Sai Baba Temple",11000,50000,1000,UnFurnished,5-10 years ,Family,Ready to Move
581,"3 BHK in shivasheesh, Kovilambakkam","Ganapathy Nagar, Near Sri Rani Mahal",18000,100000,2200,Semi Furnished,1-3 years ,Family,Ready to Move
582,"1 BHK in Amaravathi Firm Foundation, Ambattur","Palaniyappa Nagar, Near Prabhavathy Shesha Mahal",7000,50000,550,Semi Furnished,5-10 years ,Family,Ready to Move
583,"4 BHK in Nelson Court, Aminjikarai","Nelson Manickam Road, Near Pantaloons And Sangeetha Veg. Restaura ...",40000,250000,2800,Semi Furnished,>10 years ,All,Ready to Move
584,"2 BHK in Sadhana, Shenoy Nagar",Sixth Cross Street,21000,100000,1000,UnFurnished,>10 years ,All,Ready to Move
585,1 BHK in Tambaram,"Independent House, Iyyapan Street, Sundaram Colony, Near Iyyappan ...",7500,40000,600,UnFurnished,1-3 years ,All,Ready to Move
586,1 BHK in Rajakilpakkam,"Independent House, Kamarajapuram Main Road, Tellus Avenue Phase 2 ...",6500,20000,700,Semi Furnished,1-3 years ,All,Ready to Move
587,"2 BHK in Marutham Gateway, Tambaram","Sai Nagar, Tambaram, Chennai - 600059, Tamil Nadu, India.",11000,50000,1000,Semi Furnished,3-5 years ,Family,10-Feb-2019
588,"3 BHK in Vaikund Sundaram, Karappakam","Vendarasi Amman Koil Street, Karapakkam, Chennai",20000,120000,1345,Semi Furnished,1-3 years ,All,01-Mar-2019
589,1 BHK in Velachery,"Independent House, 5th Street,near Vijaya Clinic,",10000,40000,550,Semi Furnished,>10 years ,All,Ready to Move
590,"2 BHK in Three Stars Flats, Valasaravakkam",State Bank Staff Colony Near Kalyaani Thirumana Mandapam,9500,50000,700,Semi Furnished,>10 years ,All,Ready to Move
591,"2 BHK in Subhiksham, Chromepet",Radha Nagar Main Rd Near St.marks Matriculation Higher Secondar,10000,50000,900,UnFurnished,>10 years ,Family,Ready to Move
592,"2 BHK in Thai illam, Nolambur","Srr Nagar, Near Citilights Meadows",12000,100000,800,UnFurnished,5-10 years ,All,Ready to Move
593,3 BHK in Adyar,"Independent House, Besant Ave Rd, Near Adyar Post Office & Amelio ...",22000,110000,1000,Semi Furnished,>10 years ,Family,Ready to Move
594,3 BHK in Kottivakkam,"Standalone Building, Thulukanathamman Koil St,near Adyar Bakery P ...",25000,100000,1300,UnFurnished,1-3 years ,Family,Ready to Move
595,"2 BHK in Apartment, Perungudi",Santhi Nagar Near Royal Enfield Omr Brand Store,20000,200000,964,Semi Furnished,3-5 years ,All,Ready to Move
596,2 BHK in Taramani,"Standalone Building, Kalangayar Nagar Near Pillayar Koil Ganesh T ...",12000,70000,850,UnFurnished,1-3 years ,Family,01-Mar-2019
597,1 BHK in Ayanavaram,"Standalone Building, Thiruvalluvar Nagar, Near Esi Hospital",9000,90000,550,UnFurnished,3-5 years ,Family,Ready to Move
598,"2 BHK in one onr, Choolaimedu",Padmanabanagar Main Road Near Ponnammal Memorial Matriculation Hi ...,16000,60000,700,Semi Furnished,5-10 years ,Family,Ready to Move
599,2 BHK in Anna Nagar West Extension,"Standalone Building, Park Road, Near Sboa School, West Gate",20000,200000,1200,Semi Furnished,1-3 years ,Family,Ready to Move
600,3 BHK in Mogappair East,"Standalone Building, Golden George Nagar, Near Sbioa Model Matric ...",23000,230000,1500,Semi Furnished,Newly Constructed,All,Ready to Move
601,"2 BHK in Jbm Mitra, Pallikaranai","9th Cross, Kamakoti Nagar, Near Lakshmi Balaji Temple",13000,90000,1030,Semi Furnished,1-3 years ,Family,01-Mar-2019
602,"2 BHK in Shakthi Abhirami Flat, Thirumullaivoyal",5th Right St Near Hp Petrol Bunk,9000,35000,1032,Semi Furnished,Newly Constructed,Family,Ready to Move
603,1 RK in Mugappair West,"Standalone Building, Brindavana Colony 2nd Street Near Velammal M ...",5000,20000,250,UnFurnished,3-5 years ,Bachelors,Ready to Move
604,"2 BHK in Mahadev Flats, Ullagaram","4th Main Road, Hindu Colony, Near New Prince Matriculation Higher ...",8500,50000,750,UnFurnished,3-5 years ,All,Ready to Move
605,2 BHK in Sholinganallur,"Standalone Building, Dollar Stop Near Accenture",12500,25000,1200,Semi Furnished,3-5 years ,Bachelors,Ready to Move
606,"1 RK in RV Medows, west mambalam","Raju Street, Near Ramakrishna Kalyana Mandapam",15000,100000,600,Semi Furnished,Newly Constructed,Bachelors,Ready to Move
607,"3 BHK in shrerose apartment, Pammal","Bhavani Nagar,near Pammal Subregistrar Office",10000,100000,1200,UnFurnished,3-5 years ,All,Ready to Move
608,"1 BHK in Egb Shantham Apartments, Thoraipakkam","No 48/flat No Block 2,f2 Flat Egb Shantham,madha Koil Street,sakt ...",9000,20000,650,UnFurnished,1-3 years ,Family,07-Feb-2019
609,3 BHK in Velachery,"Standalone Building, Tamilnadu Housing Board Colony, Near Denatur ...",13500,50000,1000,UnFurnished,5-10 years ,All,Ready to Move
610,"3 BHK in Prajwal Suraj, Virugambakkam","Main Road,near Chennai Corporation Marriage Hall",22000,132000,1300,Semi Furnished,5-10 years ,Family,01-Jul-2019
611,"3 BHK in Casagrand Elan Rd, Semmancheri","Casagrand Elan Rd, Semmancheri, Chennai, Tamil Nadu 600130, India ...",20000,150000,1950,Semi Furnished,Newly Constructed,Family,15-Feb-2019
612,2 BHK in Velachery,"Standalone Building, Bharathiyar Street, Nehru Nagar, Near Arulmi ...",-,600000,715,UnFurnished,5-10 years ,Family,28-Feb-2019
613,2 BHK in New Perungalathur,"Independent House, Perumal Koil St, Near Sri Lakshmi Store And Sr ...",12000,40000,800,UnFurnished,>10 years ,Family,Ready to Move
614,"1 BHK in jayalakshmi enclave, Pallikaranai","A G S Colony,near San Academy",5000,40000,550,UnFurnished,3-5 years ,All,Ready to Move
615,"3 BHK in Bagyalakshmi Block - 1, Bagyalakshmi Block - 1, Ganapath ...","Medavakkam Main Rd, Near Sri Rani Mahal",18000,60000,1250,Semi Furnished,5-10 years ,Family,01-Mar-2019
616,3 BHK in Chromepet,"Independent House, Ramzan Street Near Reliance Trends",11000,66000,1200,UnFurnished,Newly Constructed,Family,21-Feb-2019
617,"2 BHK in Royale phase 2, Valasaravakkam","Vijaya Nagar, Near Friends Park",16000,150000,900,Semi Furnished,3-5 years ,Family,Ready to Move
618,"2 BHK in Crest Dusica Phase III, Pammal","Anakaputhur, Chennai",8000,70000,900,UnFurnished,1-3 years ,Family,Ready to Move
619,3 BHK in Vadapalani,"Independent House, Arcot Road Near Ram Theatre Bus Stop And Fast ...",45000,400000,2000,Semi Furnished,>10 years ,All,Ready to Move
620,2 BHK in Ambattur,"Independent House, Old Twp Rd, Venkatapuram, Near Mother's Specia ...",15000,150000,700,UnFurnished,1-3 years ,Company,Ready to Move
621,"2 BHK in Grahalaya, Vadapalani","Ngo Colony Rd, Pillayar Koil Street, , Near Hotel Ambica Empire",14000,100000,800,Semi Furnished,5-10 years ,Family,Ready to Move
622,"3 BHK in Vinayaka Homes, Keelkattalai","2nd Main Rd, Gokulam Nagar, Near Singapore Twin House..",13500,60000,1000,UnFurnished,5-10 years ,All,Ready to Move
623,"3 BHK in Casa Grande Urbano, Venkatamangalam","Near Madras, Ponmar, Venkatamangalam, Vengadamangalam, Tamil Nadu ...",16000,160000,2500,Semi Furnished,1-3 years ,Family,01-Mar-2019
624,"2 BHK in Ruby Ashok Manor, Selaiyur","Manickam Avenue, Selaiyur, Chennai-600126, Tamil Nadu, India.",14000,50000,875,Semi Furnished,5-10 years ,Family,Ready to Move
625,1 BHK in Triplicane,"Standalone Building, Narayana Krishnaraja Puram, Near Sangeetha V ...",7500,75000,400,UnFurnished,>10 years ,All,10-Feb-2019
626,"3 BHK in Lakshmi Srinivasa Flats, Kattupakkam",Moovendhar Nagar Near Prestige Bella Vista,20000,100000,1170,Semi Furnished,3-5 years ,Family,01-Mar-2019
627,1 BHK in Palavakkam,"Standalone Building, Near M.m.tyres, East Coast Road, Pallavakam",12000,50000,575,Semi Furnished,1-3 years ,All,Ready to Move
628,"2 BHK in Unity Apartment, Annanagar East","R.v. Nagar, Voc Nagar, Near Sakthi Stores",26000,250000,1000,Semi Furnished,>10 years ,All,Ready to Move
629,2 BHK in Shenoy Nagar,"Standalone Building, Lakshmi Talkies Road,near Billroth Hospitals ...",22000,132000,900,Full Furnished,Newly Constructed,All,Ready to Move
630,1 RK in Madhanandapuram,"Standalone Building, Mangadu Main Rd, Near Narayana E-techno Scho ...",5000,30000,180,Semi Furnished,1-3 years ,Bachelors,Ready to Move
631,1 RK in Pallikaranai,"Standalone Building, Vallal Pari Nagar 2nd Main Road , Near Kanna ...",4000,20000,300,UnFurnished,3-5 years ,All,Ready to Move
632,"2 BHK in Sundara vadivel thamil illam, Poonamalle","4th Street, Shrishti Sai Nagar Layout, Srinivasa Nagar,, Near Sri ...",8000,40000,600,UnFurnished,Newly Constructed,Family,Ready to Move
633,4 BHK in Vadapalani,"Independent House, Sarvamangala Colony Near Vengeeswarar Temple",42000,420000,1800,Semi Furnished,5-10 years ,All,Ready to Move
634,"1 BHK in Antonys The Pebbles, Sithalapakkam","Sithalapakkam, Chennai - 600073, Tamil Nadu, India.",10000,50000,800,Full Furnished,5-10 years ,All,Ready to Move
635,"2 BHK in Aiysvariyaa Sri Sai Baba Enclave, Kolathur",Thirumalai Nag Near Drj Hospital,12000,60000,750,Semi Furnished,1-3 years ,All,Ready to Move
636,2 BHK in Kotturpuram,"Independent House, Surya Nagar Near Anna Centenary Library",14000,100000,600,Semi Furnished,3-5 years ,All,Ready to Move
637,"3 BHK in Taraka, Thirumullaivoyal","Palli Pillayar Koil Street, Near Pachai Amman Koil",10000,30000,1076,Semi Furnished,Newly Constructed,All,Ready to Move
638,2 BHK in Old Pallavaram,"Independent House, Pv Vaithiyalingam Rd,near Nagathamman Temple",7000,20000,600,UnFurnished,3-5 years ,All,12-Feb-2019
639,1 BHK in medavakkam,"Standalone Building, Sivagami Nagar, Near New Prince Shri Bhavan ...",8000,40000,600,Semi Furnished,Newly Constructed,Family,01-Mar-2019
640,"1 RK in Stand Alone Building, Medavakkam","Patel Road, Near New Prince Shri Bhavani Arts And Science Colleg ...",4500,55000,350,UnFurnished,Newly Constructed,Bachelors,Ready to Move
641,3 BHK in Ramapuram,"Independent House, Meenakshi Nagar, Opp Dlf It Park, Mount Poonam ...",20000,100000,1500,Semi Furnished,>10 years ,Family,10-Mar-2019
642,"2 BHK in Padmalaya, Kottur","Perumal Koil Street, Near Perumal Koil Temple",18000,60000,850,Semi Furnished,5-10 years ,All,Ready to Move
643,2 BHK in Koyambedu,"Standalone Building, Nerkundram,near Csi Immanuel Chruch",15000,45000,700,Semi Furnished,Newly Constructed,Family,Ready to Move
